NIF,Name,Phone,Address,Clinic
172034798,Lorena Carneiro,984014980,Vila Nova de Foz Côa Largo de Pinheiro 53 2013-140,Clínica Cunha
696404427,Yara Vicente,905948112,Bragança Praça de Lopes 6 4123-081,Clínica Cunha
270682320,Sara Reis,948349566,Esposende Alameda Cardeal Cerejeira 94 3332-427,Clínica Cunha
808706595,Luca Marques,909597771,Guimarães Avenida Diana Faria 986 9000-705,Clínica Cunha
636388638,Eduarda Almeida,989563073,Alcácer do Sal R. da Carvalhosa 9 2637-522,Clínica Cunha
724993136,Juliana Gonçalves,960842635,Porto Praça dos Anjos 68 4566-728,Clínica Cunha
707552574,Melissa Maia-Oliveira,901001051,Ermesinde Travessa Anjos S/N 8448-530,Clínica Machado
141670421,Joaquim Pacheco,981646087,Mangualde Rua de Garcia 11 5136-648,Clínica Machado
239909744,Juliana Nascimento,994228752,Gouveia Largo Pires 65 7754-498,Clínica Machado
110891755,Mário Pinto,913363270,Odivelas Av Guerreiro S/N 6227-930,Clínica Machado
866364877,Valentim da Morais,914791370,Barreiro Travessa de Vinte e Quatro de Agosto 939 0184-933,Clínica Machado
112405103,Sebastião Garcia,921809942,Seia Avenida Maria Anjos 8 2848-625,Clínica Machado
170169533,Rafaela Matos,955521872,Trofa Praça de Nunes 66 3527-014,Clínica Matias
655937920,Isabela Henriques-Cardoso,944133443,Vila Nova de Famalicão Avenida Pacheco 99 0279-051,Clínica Matias
643520849,Joana Anjos,901557918,Esmoriz Rua de Sousa 5 5843-109,Clínica Matias
241294015,Benedita do Morais,998851026,Barreiro Rua de Paiva 41 3592-398,Clínica Matias
344295608,Bryan do Pacheco,941228233,Ponta Delgada Alameda Pilar Pinho 15 6935-198,Clínica Matias
810925593,Ângelo Brito,959756566,Estremoz Rua Luna Carneiro 923 9120-864,Clínica Matias
638591672,Larissa Baptista,974986441,Beja Av de Oliveira 5 8709-700,Clínica Carneiro e Filhos
487276405,Micael Valente,961011294,Leiria Alameda Mendes 827 2359-549,Clínica Carneiro e Filhos
256876851,Luísa Miranda,996084993,Póvoa de Varzim Av Leite 36 3358-543,Clínica Carneiro e Filhos
146888646,Mafalda Pereira,956583211,Bragança Alameda Tristão da Silva 53 9686-367,Clínica Carneiro e Filhos
734572207,Luana de Teixeira,932474633,Felgueiras Alameda Márcio Carneiro 998 8033-345,Clínica Carneiro e Filhos
712655328,Sebastião Almeida,952065202,Horta Praça Ferreira de Mira 72 0800-137,Clínica Carneiro e Filhos
307762539,Bárbara Gonçalves-Rocha,948253360,Funchal Praça de Andrade 40 1569-522,Clínica Melo e Filhos
642551337,Nicole Castro,908941090,Vale de Cambra Travessa Maria José Moura S/N 0147-564,Clínica Melo e Filhos
497800508,Manuel Vaz,924491165,Angra do Heroísmo Av de Vicente S/N 2697-401,Clínica Melo e Filhos
913979853,Yara Baptista,961302831,Faro Alameda do Monte 391 3156-640,Clínica Melo e Filhos
908948700,Jaime Miranda,908275974,Setúbal Travessa Eduarda Lopes 76 9098-210,Clínica Melo e Filhos
719598688,Gabriela Silva,936316687,Bragança Av de Nogueira S/N 1151-548,Clínica Melo e Filhos
