SSN,NIF,Name,Phone,Address,Birthdate
573316218,720069243,Miriam Sá,934679829,Costa da Caparica Av Mário Machado 92 2798-880,1969-05-03
758268890,773798062,Mário Marques,920150531,São Salvador de Lordelo Praça de Santana 47 7281-157,1971-09-11
977852450,673217075,Núria Amaral,947069049,Anadia Avenida do Monte de S. João 52 0216-434,1982-09-02
878285323,232003364,Mara de Batista,968903107,Barcelos Avenida Alice Martins 18 5974-883,1994-10-21
324670964,553988101,Erika do Pires,975340594,Vila Real Largo de Cunha 9 7049-487,1967-03-13
991312822,437269044,Valentina Anjos,920662805,Guarda Rua de Maia 92 9591-799,1996-07-17
954220370,927969393,Dinis Mendes,912959958,Rio Maior Alameda de Lima 183 5995-175,1994-06-07
210905505,944746397,Alexandra Esteves,955146772,Lisboa R. de Moreira 90 2780-948,1980-03-09
101582008,252660754,Mélanie Castro,999954601,Fundão Av de Oliveira 767 7080-212,1996-05-11
609623610,487690931,Laura de Morais,940104561,Ourém Rua Castro 8 6171-454,2004-09-19
663581481,204871289,Cláudio Fernandes,965001980,Câmara de Lobos Rua Gabriel Moura 4 9900-295,2000-12-14
865568123,638063336,Ivo Martins,933171045,Peso da Régua Av de Campos 31 3942-503,1946-02-09
276811522,956812354,Bryan Nascimento,981512682,Coimbra Praça Diego Pereira 83 1874-575,1946-03-09
377510291,811237299,Nádia Jesus,975198791,Portimão Rua Simão Leite S/N 6177-014,1954-08-04
739673151,472931938,Vicente Nogueira,974100735,Caldas da Rainha Travessa do Cidral de Baixo S/N 3594-727,1970-03-30
756660574,903167716,José Amorim,923034664,Rio Maior Largo Dinis Tavares 1 6322-461,1974-06-28
680073547,854396991,Frederico Freitas,914618729,Pombal Largo Leite 444 4643-413,1970-12-09
984954469,284685561,Clara Barros,996923044,Ourém Travessa Magalhães 69 0979-704,1977-10-07
966667733,134009029,Andreia Paiva,972647317,Estarreja Av de Valente 97 9548-921,2004-03-10
706963346,135395583,Luciana-Iara Gaspar,998104296,Sines Avenida Bryan Barbosa 65 5213-967,1993-12-13
102827578,585159802,Nair Santos-Fonseca,964944858,Viseu Av Grande de Cima 92 2361-163,1993-04-28
453295175,482418044,Madalena de Gomes,962819689,Torres Novas R. das Necessidades 78 3504-381,1985-03-29
919882690,954720556,Sandro Batista,960918944,Póvoa de Varzim Av Mota 257 7301-564,1984-12-15
146942499,875712774,Erica Jesus,934598064,Albufeira Praça dos Escaleres S/N 2215-863,1970-10-10
297720505,855757738,Isabela Macedo,925031560,Póvoa de Varzim Rua de Miranda 21 0944-066,1980-06-17
415818445,957584210,Eva Santos-Pereira,954964837,Évora Rua do Alto do Varejão 73 3790-462,2002-04-28
695770117,481732760,Eduardo Silva-Araújo,966033328,Porto Santo Avenida de Francos 80 8931-986,1997-06-13
485790753,382751243,Bryan Magalhães,912494863,São João da Madeira Alameda Reis 465 9027-598,1956-04-07
791856424,454550959,Iara Pacheco,912483772,Rebordosa Praça Amaral S/N 6597-783,1962-11-21
339450401,435554057,Vera Araújo,959357143,Agualva-Cacém Avenida Juliana Martins S/N 5850-855,1960-12-15
771968039,123342144,Luciana Gomes,933726604,Loures Alameda de Amorim 834 3491-102,2004-05-17
382977932,636539431,Kévim Ramos,972883799,Vila Real de Santo António Praça da Carvalhosa 60 9203-893,1948-09-05
855151369,284182500,Kevin Gonçalves,971577469,Fiães Praça de Branco S/N 0909-840,1953-06-09
819303724,911710624,Artur Leal,967612407,Silves Praça do Castelo do Queijo S/N 3378-527,1962-06-04
747023841,845727728,Bianca Esteves,978195010,Viana do Castelo Alameda Nunes 74 3542-521,1995-08-30
556061962,625453175,Marta Carneiro,995907647,Maia Travessa Nelson Cruz 54 3978-992,1955-12-09
517216379,744634721,Marta Garcia,900263564,Almada Alameda Gaspar 58 0653-350,1980-04-20
333286471,618753370,Lorena Brito-Paiva,973941671,Fafe Av Luciana Sá 1 8520-041,1998-10-10
720319257,664846130,Eduardo Amorim,980023434,Vale de Cambra Largo de Faria 116 4892-933,1980-02-26
933619753,338902520,Tomás do Pinheiro,985676747,Felgueiras Av de Henriques 9 7675-953,2000-06-12
279971018,892572244,Bianca Correia,988146733,Tarouca R. das Âncoras 17 9276-249,1963-09-02
795435767,568615156,Núria Freitas,985629827,Lagoa Av Paulo Baptista 306 6573-200,1962-08-09
114728430,899039699,Lia Amaral,930038295,Setúbal Avenida Henriques 4 2134-599,1971-11-06
874607179,371651506,Álvaro Antunes,951735180,Fiães Av de D. João II 16 7098-755,1974-06-20
997145759,717978569,Débora Araújo,969960503,Caldas da Rainha Avenida Maia 28 0933-413,1983-01-01
736824317,349457899,Eduardo Carvalho,982534123,Sines Largo de Moura 2 7644-249,1981-05-29
934447911,869650186,Nádia Jesus,928379441,Moura Praça Neto 40 9868-250,1998-09-18
490220590,283934326,Leonor Monteiro-Jesus,962684423,Barcelos R. Marco Martins S/N 7737-531,1962-09-24
868443436,451142501,Marcos Vieira,996467237,Amora Rua do Monte dos Judeus 270 1604-112,1973-08-04
292672852,369016353,Alice Assunção-Morais,996648477,Rebordosa R. Núria Esteves 47 7428-290,1971-01-23
697830194,615523545,Álvaro Barbosa,999310863,Albufeira Av do Chinquilho 57 3628-489,1998-08-31
581406357,109381927,Gabriela Machado-Rodrigues,983603951,Covilhã R. de Luís António Verney 83 4957-113,1983-04-21
438362888,770517459,Micael Carneiro,914415722,Anadia Rua Patrícia Maia 7 0718-749,2005-08-18
600775227,403508248,Samuel Valente,971280475,Póvoa de Santa Iria Travessa Kévim Leal 898 3901-807,1989-06-30
626898452,677853181,Santiago Barros,948267296,Sines Praça de Antunes 82 7379-136,1978-11-13
139656184,429655050,Teresa Gaspar-Anjos,988318432,Agualva-Cacém Largo de Baptista 787 6966-646,1969-09-09
210852093,725768843,Micael Correia,968908939,Esposende Praça das Âncoras 54 2185-713,2005-04-10
202250795,945882684,Filipe Gaspar-Costa,978632241,Mealhada Avenida das Conchas S/N 7888-286,1980-03-25
464592881,736569881,Hugo de Mendes,957181845,Vila do Conde Rua Eduardo Prado Coelho 82 4916-988,1976-03-30
962274586,560353564,Larissa Simões,955657456,Valbom Alameda das Laranjeiras 2 4658-241,1951-05-25
263742739,532618496,Fabiana Fernandes,935238885,Lagoa Alameda Fonseca 40 3519-563,1978-12-03
137418476,115315074,Lara-Irina Simões,998889609,Oliveira do Bairro Praça de Matos 461 3381-434,1982-06-03
947749446,692697761,Marco Campos,913582496,Gouveia Praça Machado 63 5477-200,2005-02-19
662704530,948516684,Hugo da Antunes,916152501,Queluz Avenida Campos 17 1611-759,1961-03-05
967126093,161867571,Fábio Esteves-Esteves,987195870,Moura Av Alícia Branco 32 4852-171,1951-04-08
403854501,649464304,Marco Esteves-Barbosa,960976263,Santa Cruz Praça Pilar Anjos 318 3310-823,1996-02-22
187283830,478004390,Isaac Marques-Pires,944522310,Barreiro Rua Martim Cardoso 34 4131-464,1965-06-03
642266934,430456704,Beatriz Neves,980593282,Vila Nova de Gaia Avenida Roentgen S/N 4657-663,1958-11-21
964231632,490670942,Fernando Andrade,959999033,Aveiro Rua Vieira 916 1303-102,1978-01-22
485281669,493214098,William Esteves-Pacheco,921847836,Freamunde Avenida de Gaspar S/N 0271-201,1989-02-04
957843831,632605530,Teresa Andrade,913220863,Trancoso R. Rui Henriques 21 7926-793,1975-05-25
430062954,955793528,Iara Fonseca,938752147,Santo Tirso Av das Japoneiras 8 2013-138,1958-06-24
370581165,197031159,Jorge Neto,950932113,Santa Maria da Feira Largo da Asprela 41 0582-454,1978-01-13
643707550,759657294,Yara do Nascimento,997333401,Coimbra Travessa Ismael Magalhães 4 9532-204,1992-09-08
611069987,304770331,Bianca Araújo-Cardoso,919083345,Matosinhos Rua da Pasteleira 32 8376-579,1962-06-05
978970093,608708029,Erica Valente,909421889,Portimão Rua Moura 41 0331-849,1982-12-17
997531719,156096745,Helena Correia-Lopes,989190919,Queluz Rua Yasmin Cunha 274 6272-588,1993-04-25
497699769,698346469,Denis da Reis,908657483,Lixa Alameda de Campos S/N 5100-063,1963-07-19
884922671,431541907,Isabela Sousa,957117128,Valpaços Largo Ferreira 48 7189-034,1995-07-27
268167524,883253833,Soraia Borges,957073219,Amarante Av dos Capitães de Abril S/N 6639-424,1988-09-30
726020293,636614154,Mia de Rodrigues,949246168,Bragança Avenida dos Corvos 569 3484-435,2000-05-02
604948610,374774637,Diego Gonçalves,949810350,Marco de Canaveses Alameda de Santana 23 4781-133,1949-11-12
941731066,623273205,Carlos Faria,985943709,Gondomar Travessa Pacheco 543 0827-193,1961-03-23
932171871,480218306,Mateus Moura,992444587,Gafanha da Nazaré Travessa Nelson Mandela 2 4340-860,1974-11-30
644886431,945076798,Marcos Nunes,967980299,Matosinhos R. Rodrigues S/N 4403-102,1956-06-08
632872289,235857273,Jaime Baptista,920447721,Pinhel Alameda da Galega 9 9231-476,1952-04-03
247904036,886178845,Enzo de Morais,963524494,Vila Real de Santo António Praça Carvalho 99 9365-826,1992-05-13
327649182,311558177,Clara Faria,976036641,Cartaxo Avenida de Macedo 87 0312-025,2005-03-29
906777109,900966208,Simão Miranda,938543065,Trofa Av Paris (Poente) 91 9172-080,1974-12-22
230258996,619112263,Manuel Gaspar,910988163,Viseu Alameda de Pereira 33 3043-793,1968-11-20
429647600,872032701,Marta Nogueira,907874016,Pinhel Largo Yasmin Moreira 129 7546-952,1964-08-09
415770084,939276989,Guilherme Brito,900456256,Vila Nova de Famalicão Praça de Cardoso 56 7538-344,1947-04-22
